Class/Operation,Method,Data,Processes,Ex.time(ms),Speedup,ROUND(Speedup),Performance
Read Tree to Fill Histgram,Sequential,1000000,1,4914,1,1,
Read Tree to Fill Histgram,IMT,10000,2,85,,,
Read Tree to Fill Histgram,IMT,100000,2,99,,,
Read Tree to Fill Histgram,IMT,1000000,2,203,,,
Read Tree to Fill Histgram,IMT,10000,4,73,,,
Read Tree to Fill Histgram,IMT,100000,4,92,,,
Read Tree to Fill Histgram,IMT,1000000,4,197,,,
Read Tree to Fill Histgram,IMT,10000,8,70,,,
Read Tree to Fill Histgram,IMT,100000,8,107,,,
Read Tree to Fill Histgram,IMT,1000000,8,196,,,
